Time,NB,SB,EB,WB
0:00,9,13,3,4
0:15,8,14,1,2
0:30,4,7,2,2
0:45,5,5,4,2
1:00,5,5,1,2
1:15,4,5,2,1
1:30,3,2,0,1
1:45,3,4,0,0
2:00,7,4,1,3
2:15,3,3,1,1
2:30,2,5,1,1
2:45,2,2,0,1
3:00,5,3,0,1
3:15,2,2,1,0
3:30,1,3,0,0
3:45,2,3,1,1
4:00,3,1,0,0
4:15,2,3,0,1
4:30,3,5,3,2
4:45,2,2,0,1
5:00,5,4,1,2
5:15,5,8,1,1
5:30,8,9,1,2
5:45,17,14,3,6
6:00,14,9,4,7
6:15,14,22,5,7
6:30,30,24,7,6
6:45,43,36,8,12
7:00,53,58,12,10
7:15,69,97,17,24
7:30,103,130,27,31
7:45,173,170,20,63
8:00,144,129,22,60
8:15,111,89,12,32
8:30,94,81,18,14
8:45,92,62,12,14
9:00,68,66,13,13
9:15,61,59,13,11
9:30,61,61,13,14
9:45,54,69,11,8
10:00,55,52,12,11
10:15,49,53,12,8
10:30,56,54,8,13
10:45,51,50,11,11
11:00,56,67,16,13
11:15,69,62,13,12
11:30,58,61,17,14
11:45,81,63,22,22
12:00,88,72,23,21
12:15,71,74,19,13
12:30,69,68,23,19
12:45,72,79,21,16
13:00,87,60,21,15
13:15,68,70,21,17
13:30,68,59,24,18
13:45,72,67,12,16
14:00,70,78,16,11
14:15,66,69,17,17
14:30,59,68,17,11
14:45,66,71,20,20
15:00,85,72,19,21
15:15,71,74,22,19
15:30,94,80,29,30
15:45,95,101,34,55
16:00,100,109,30,53
16:15,113,97,27,40
16:30,100,93,26,29
16:45,110,93,29,25
17:00,123,129,63,31
17:15,139,126,41,32
17:30,141,115,44,29
17:45,115,98,35,33
18:00,92,77,35,25
18:15,100,81,24,26
18:30,78,70,23,17
18:45,75,64,23,22
19:00,58,64,19,14
19:15,52,62,13,17
19:30,54,48,16,14
19:45,39,45,11,14
20:00,51,39,18,14
20:15,44,39,16,14
20:30,42,36,10,12
20:45,38,33,14,12
21:00,37,30,10,9
21:15,37,30,11,14
21:30,32,30,10,13
21:45,25,24,10,9
22:00,26,27,6,8
22:15,19,22,7,9
22:30,18,20,4,6
22:45,18,14,4,6
23:00,14,12,5,3
23:15,14,10,4,3
23:30,10,15,4,5
23:45,10,8,2,2
